0	4
1	1
2	2
3	1
4	1
5	1
6	3
7	6
8	8
9	6
10	7
11	10
12	9
13	5
14	14
15	13
16	17
17	9
18	9
19	10
20	15
21	14
22	9
23	14
24	15
25	17
26	14
27	15
28	19
29	18
30	27
31	31
32	20
33	22
34	29
35	22
36	21
37	28
38	30
39	32
40	23
41	19
42	30
43	27
44	25
45	26
46	31
47	34
48	30
49	27
50	27
51	27
52	25
53	33
54	27
55	30
56	44
57	33
58	37
59	36
60	35
61	27
62	35
63	41
64	40
65	30
66	31
67	37
68	35
69	33
70	25
71	28
72	33
73	29
74	35
75	34
76	29
77	30
78	34
79	35
80	31
81	34
82	39
83	40
84	28
85	25
86	26
87	44
88	35
89	34
90	35
91	24
92	24
93	28
94	34
95	24
96	37
97	36
98	35
99	34
100	21
