0	4
1	1
2	2
3	2
4	1
5	2
6	5
7	5
8	2
9	3
10	6
11	9
12	8
13	8
14	6
15	4
16	6
17	6
18	7
19	6
20	10
21	7
22	7
23	3
24	6
25	9
26	14
27	11
28	7
29	11
30	14
31	11
32	10
33	9
34	12
35	15
36	16
37	17
38	13
39	11
40	10
41	14
42	20
43	19
44	18
45	14
46	13
47	16
48	17
49	25
50	24
51	26
52	24
53	25
54	16
55	23
56	26
57	25
58	30
59	25
60	30
61	25
62	27
63	24
64	29
65	25
66	28
67	31
68	27
69	31
70	28
71	29
72	37
73	38
74	39
75	37
76	36
77	32
78	32
79	31
80	38
81	49
82	41
83	47
84	40
85	47
86	43
87	51
88	55
89	50
90	56
91	47
92	50
93	45
94	54
95	62
96	65
97	62
98	70
99	64
100	61
101	51
102	42
103	8
