0	4
1	1
2	1
3	3
4	1
5	3
6	3
7	2
8	5
9	3
10	5
11	7
12	6
13	9
14	7
15	5
16	6
17	5
18	10
19	6
20	9
21	11
22	5
23	8
24	8
25	17
26	9
27	10
28	12
29	16
30	11
31	10
32	12
33	8
34	12
35	11
36	13
37	15
38	17
39	10
40	9
41	10
42	11
43	16
44	19
45	22
46	24
47	17
48	13
49	23
50	20
51	23
52	22
53	24
54	20
55	29
56	33
57	27
58	32
59	28
60	30
61	25
62	21
63	34
64	30
65	34
66	31
67	26
68	35
69	38
70	46
71	34
72	36
73	33
74	36
75	38
76	54
77	51
78	45
79	51
80	58
81	55
82	57
83	56
84	60
85	64
86	66
87	74
88	66
89	76
90	76
91	86
92	87
93	83
94	83
95	80
96	91
97	96
98	74
99	85
100	64
101	65
102	71
103	69
104	97
105	80
106	84
107	96
108	91
109	97
110	92
111	124
112	109
113	113
114	94
115	111
116	123
117	134
118	112
119	94
120	3
